language,analysis_unit,text,count,bpe_unique_signatures,fxt_unique_signatures,fxt_seed_signature_count,has_fxt_seed_variation,most_common_bpe,most_common_fxt,seed_signatures
te,whitespace_word,"1995).""",1,1,5,5,True,"199|5|).|""","1|995).""","{""42"": ""1|995).\"""", ""43"": ""1995|).\"""", ""44"": ""1995).\"""", ""45"": ""199|5|).\"""", ""46"": ""1|995|).\""""}"
te,whitespace_word,1995లో,1,1,5,5,True,199|5|à°²|à±ĭ,1995|||,"{""42"": ""1995|||"", ""43"": ""1995||ో"", ""44"": ""1|995ల|"", ""45"": ""1|995|ల|"", ""46"": ""1995లో""}"
te,whitespace_word,2003లో,1,1,5,5,True,200|3|à°²|à±ĭ,2|003|ో,"{""42"": ""2|003|ో"", ""43"": ""200|3||"", ""44"": ""20|03ల|"", ""45"": ""2|003ల|"", ""46"": ""200|3|ో""}"
te,whitespace_word,2008న,1,1,5,5,True,200|8|à°¨,2008న,"{""42"": ""2008న"", ""43"": ""2|008న"", ""44"": ""2008|"", ""45"": ""20|08న"", ""46"": ""2|0|08న""}"
te,whitespace_word,2017లో,1,1,5,5,True,201|7|à°²|à±ĭ,2|017లో,"{""42"": ""2|017లో"", ""43"": ""2017లో"", ""44"": ""20|17ల|"", ""45"": ""2017||"", ""46"": ""20|17లో""}"
te,whitespace_word,"330,000",1,1,5,5,True,"330|,|000","3|30,0|00","{""42"": ""3|30,0|00"", ""43"": ""330,0|00"", ""44"": ""330|,0|00"", ""45"": ""330|,0|0|0"", ""46"": ""33|0,0|00""}"
te,whitespace_word,600Mbit/s,1,1,5,5,True,600|M|bit|/s,600M|bit|/|s,"{""42"": ""600M|bit|/|s"", ""43"": ""60|0M|bit|/|s"", ""44"": ""6|00M|bit|/|s"", ""45"": ""6|0|0M|bit|/|s"", ""46"": ""6|0|0|M|bit|/|s""}"
te,whitespace_word,"755,688",1,1,5,5,True,"75|5|,|6|88","7|5|5,6|88","{""42"": ""7|5|5,6|88"", ""43"": ""7|55|,6|88"", ""44"": ""755,6|88"", ""45"": ""75|5,6|88"", ""46"": ""7|5|5|,6|88""}"
te,whitespace_word,Amsterdamలోని,1,1,5,5,True,Am|ster|dam|à°²|à±ĭà°¨|à°¿,Am|s|te r|damల|ని,"{""42"": ""Am|s|te r|damల|ని"", ""43"": ""Ams te r|d|amల|ని"", ""44"": ""Am|s te r|damల|ని"", ""45"": ""Am|s te r|dam|ల|ని"", ""46"": ""Am|s te r|d|amల|ని""}"
te,whitespace_word,Bishkekను,1,1,5,5,True,B|ish|ke|k|à°¨|à±ģ,Bishkekన|,"{""42"": ""Bishkekన|"", ""43"": ""B|ishkekను"", ""44"": ""B|is|hkek|ను"", ""45"": ""B|ish|kekన|"", ""46"": ""B|ish|kek|ను""}"
te,whitespace_word,Buffalo-Pittsburgh,1,1,5,5,True,B|uff|alo|-P|it|ts|burgh,B|u|f|falo-|Pit|tsb|ur|gh,"{""42"": ""B|u|f|falo-|Pit|tsb|ur|gh"", ""43"": ""B|u|f|f|alo-|Pit|tsb|ur|g|h"", ""44"": ""B|uf|f|alo-|Pit|tsb|ur|gh"", ""45"": ""B|u|f|f|alo-|Pit|tsb|ur|gh"", ""46"": ""B|uff|alo-|Pit|tsb|ur|gh""}"
te,whitespace_word,Montevideo,1,1,5,5,True,M|onte|video,M|on|te video,"{""42"": ""M|on|te video"", ""43"": ""M|on|te vid|eo"", ""44"": ""M|on|te|v|ideo"", ""45"": ""M|o|n|te|v|id|eo"", ""46"": ""M|on|te|video""}"
te,whitespace_word,Museumకు,1,1,5,5,True,M|use|um|à°ķ|à±ģ,Museumక|,"{""42"": ""Museumక|"", ""43"": ""M|useu|mక|"", ""44"": ""M|use|umక|"", ""45"": ""M|use|um|క|"", ""46"": ""M|useumక|""}"
te,whitespace_word,"Schumacher,",1,1,5,5,True,"S|ch|um|acher|,","S|c|hum|ach|er,","{""42"": ""S|c|hum|ach|er,"", ""43"": ""S|c|hum|ach|er|,"", ""44"": ""S|chum|ach|er|,"", ""45"": ""S|c|hum|ac|her|,"", ""46"": ""S|c|hum|acher|,""}"
te,whitespace_word,"ZMapp,",1,1,5,5,True,"Z|M|app|,","Z|Map|p,","{""42"": ""Z|Map|p,"", ""43"": ""ZMapp|,"", ""44"": ""ZM|ap|p,"", ""45"": ""Z|M|app,"", ""46"": ""Z|Mapp|,""}"
te,whitespace_word,Zhabdrung,1,1,5,5,True,Z|hab|dr|ung,Z|hab|d ru ng,"{""42"": ""Z|hab|d ru ng"", ""43"": ""Zhab|d|ru ng"", ""44"": ""Zhab|d ru ng"", ""45"": ""Z|hab|d ru|ng"", ""46"": ""Zhab|d ru|ng""}"
te,whitespace_word,అంగోలాలో,1,1,5,5,True,à°ħ|à°Ĥà°Ĺ|à±ĭà°²|à°¾à°²|à±ĭ,అంగ||లాల|,"{""42"": ""అంగ||లాల|"", ""43"": ""అంగ|లా||"", ""44"": ""అంగ|లాల|"", ""45"": ""అ|గ|లాల|"", ""46"": ""అ|గ||లాల|""}"
te,whitespace_word,అందుకున్నట్లు,1,1,5,5,True,à°ħ|à°Ĥà°¦|à±ģà°ķ|à±ģà°¨|à±įà°¨à°Ł|à±įà°²|à±ģ,అంద|క|న|నట|ల|,"{""42"": ""అంద|క|న|నట|ల|"", ""43"": ""అంద|క|న్నట్ల|"", ""44"": ""అ|ద|కున్నట్ల|"", ""45"": ""అంద|కున్నట్ల|"", ""46"": ""అంద|కున్నట|ల|""}"
te,whitespace_word,అడ్మినిస్ట్రేటర్,1,1,5,5,True,à°ħ|à°¡|à±įà°®|à°¿à°¨|à°¿à°¸|à±įà°Ł|à±įà°°|à±ĩà°Łà°°|à±į,అడ|మినిస్ట|ర|టర|,"{""42"": ""అడ|మినిస్ట|ర|టర|"", ""43"": ""అ||మి|నిస్ట|ర|టర|"", ""44"": ""అడ|మిని|స|ట|ర|టర|"", ""45"": ""అ|్మి|నిస|ట|ర|టర|"", ""46"": ""అడ్మినిస|ట|ర|టర|""}"
te,whitespace_word,ఆచారంగా,1,1,5,5,True,à°Ĩ|à°ļ|à°¾à°°|à°Ĥà°Ĺ|à°¾,ఆచారంగ|ా,"{""42"": ""ఆచారంగ|ా"", ""43"": ""ఆచా|ంగ|ా"", ""44"": ""ఆ|ారంగ|ా"", ""45"": ""ఆ||ా|ంగ|ా"", ""46"": ""ఆచ|ా|ంగ|ా""}"
te,whitespace_word,ఆటగాళ్లకు,1,1,5,5,True,à°Ĩ|à°Ł|à°Ĺ|à°¾à°³|à±įà°²à°ķ|à±ģ,ఆటగా||లక|,"{""42"": ""ఆటగా||లక|"", ""43"": ""ఆటగాళ|లక|"", ""44"": ""ఆటగాళ||లక|"", ""45"": ""ఆటగ|ా||లక|"", ""46"": ""ఆటగ|ా|||లక|""}"
te,whitespace_word,ఆవరించియున్న,1,1,5,5,True,à°Ĩ|à°µà°°|à°¿à°Ĥ|à°ļ|à°¿à°¯|à±ģà°¨|à±įà°¨,ఆవరి|ంచి|య|న్న,"{""42"": ""ఆవరి|ంచి|య|న్న"", ""43"": ""ఆవ|ి|ంచి|య|న్న"", ""44"": ""ఆవరి|ంచి|య|న|న"", ""45"": ""ఆ|ర||ంచి|యున్న"", ""46"": ""ఆవ|||ంచి|య|న్న""}"
te,whitespace_word,ఆవిర్భావంతో,1,1,5,5,True,à°Ĩ|à°µ|à°¿à°°|à±įà°Ń|à°¾à°µ|à°Ĥà°¤|à±ĭ,ఆవిర|భా|ంత|,"{""42"": ""ఆవిర|భా|ంత|"", ""43"": ""ఆవిర|భావంత|"", ""44"": ""ఆ|ిర|భా|ంత|"", ""45"": ""ఆవిర|భావంత||"", ""46"": ""ఆవ|ర|భావంత|""}"
te,whitespace_word,ఆశించింది.,1,1,5,5,True,à°Ĩ|à°¶|à°¿à°Ĥ|à°ļ|à°¿à°Ĥ|à°¦|à°¿.,ఆశి|ంచి|ంది|.,"{""42"": ""ఆశి|ంచి|ంది|."", ""43"": ""ఆ|ి|ంచి|ంది."", ""44"": ""ఆశించి|ంది."", ""45"": ""ఆ|ి|ంచి|ంది|."", ""46"": ""ఆశి|ంచి|ంది.""}"
te,whitespace_word,"ఆసిలేటర్లు,",1,1,5,5,True,"à°Ĩà°¸|à°¿à°²|à±ĩà°Łà°°|à±įà°²|à±ģ,","ఆసి|ల|టర|ల|,","{""42"": ""ఆసి|ల|టర|ల|,"", ""43"": ""ఆ|ిల|టర|లు,"", ""44"": ""ఆసిల|టర|లు,"", ""45"": ""ఆ|ిల|టర|ల|,"", ""46"": ""ఆస|ిల|టర|ల|,""}"
te,whitespace_word,ఆస్ట్రేలియాతో,1,1,5,5,True,à°Ĩà°¸|à±įà°Ł|à±įà°°|à±ĩà°²|à°¿à°¯|à°¾à°¤|à±ĭ,ఆ|్ట|ర|లి|యాత|,"{""42"": ""ఆ|్ట|ర|లి|యాత|"", ""43"": ""ఆస్ట|ర|లి|యా||"", ""44"": ""ఆస్ట|ర|లియా||"", ""45"": ""ఆస|ట|ర|లియాత|"", ""46"": ""ఆ||ట|ర|లి|యా||""}"
te,whitespace_word,ఆహ్వానిస్తారు.,1,1,5,5,True,à°Ĩ|à°¹|à±įà°µ|à°¾à°¨|à°¿à°¸|à±įà°¤|à°¾à°°|à±ģ.,ఆహ|వా|ి|స|తా||.,"{""42"": ""ఆహ|వా|ి|స|తా||."", ""43"": ""ఆహ|వా|ి|స్తా||."", ""44"": ""ఆ||వా|ి|స్తా||."", ""45"": ""ఆ||వా|ి|స్తార|."", ""46"": ""ఆహ|వాని|స్తా||.""}"
te,whitespace_word,"ఉంచుకోండి,",1,1,5,5,True,"à°ī|à°Ĥà°ļ|à±ģà°ķ|à±ĭà°Ĥ|à°¡|à°¿,","ఉంచ|కోండి,","{""42"": ""ఉంచ|కోండి,"", ""43"": ""ఉ|ంచ|క|ండి,"", ""44"": ""ఉంచ|కోండి|,"", ""45"": ""ఉంచ|క|ండి|,"", ""46"": ""ఉంచ|క|ండి,""}"
te,whitespace_word,ఉన్నసముద్రాలలో,1,1,5,5,True,à°ī|à°¨|à±įà°¨|à°¸à°®|à±ģà°¦|à±įà°°|à°¾à°²à°²|à±ĭ,ఉన్నసమ|ద|రాలల|,"{""42"": ""ఉన్నసమ|ద|రాలల|"", ""43"": ""ఉన|నసమ|ద|రాలల|"", ""44"": ""ఉ|న్నసమ|ద|రా|ల|"", ""45"": ""ఉన్నసమ|ద|రా|ల|"", ""46"": ""ఉన|నసమ|ద|రా|ల|""}"
te,whitespace_word,ఎదగాల్సిన,1,1,5,5,True,à°İ|à°¦à°Ĺ|à°¾à°²|à±įà°¸|à°¿à°¨,ఎదగాల|సి|న,"{""42"": ""ఎదగాల|సి|న"", ""43"": ""ఎదగ|ాల|సిన"", ""44"": ""ఎదగ|ా||సి|న"", ""45"": ""ఎదగాల|సిన"", ""46"": ""ఎదగ|ాల|సి|న""}"
te,whitespace_word,ఐఫోన్,1,1,5,5,True,à°Ĳ|à°«|à±ĭà°¨|à±į,ఐఫోన్,"{""42"": ""ఐఫోన్"", ""43"": ""ఐ|ఫ|న|"", ""44"": ""ఐ|ఫ|న్"", ""45"": ""ఐఫ|న్"", ""46"": ""ఐఫోన|""}"
